,date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
129,2014-05-10 04:00:00+00:00,79.5776,60.5876,0.16141732,14.922651
130,2014-05-11 04:00:00+00:00,77.1476,59.957603,0.06692914,10.106191
131,2014-05-12 04:00:00+00:00,84.4376,57.9776,0.015748031,8.0656185
132,2014-05-13 04:00:00+00:00,77.2376,55.7276,0.0,10.408663
133,2014-05-14 04:00:00+00:00,72.2876,52.5776,0.0,8.608818
134,2014-05-15 04:00:00+00:00,79.2176,61.217598,0.015748031,14.374357
135,2014-05-16 04:00:00+00:00,67.51759,58.967598,1.6456691,15.806903
136,2014-05-17 04:00:00+00:00,65.4476,52.3976,0.0,9.398062
137,2014-05-18 04:00:00+00:00,63.467598,47.0876,0.0,9.490787
138,2014-05-19 04:00:00+00:00,69.5876,44.7476,0.0,11.908742
139,2014-05-20 04:00:00+00:00,73.7276,49.9676,0.0,9.606085
140,2014-05-21 04:00:00+00:00,70.9376,59.1476,0.055118114,5.2031293
141,2014-05-22 04:00:00+00:00,76.6976,56.7176,0.48818895,5.8333826
142,2014-05-23 04:00:00+00:00,71.4776,59.1476,0.023622049,10.321762
143,2014-05-24 04:00:00+00:00,70.4876,56.8976,0.011811024,10.292631
144,2014-05-25 04:00:00+00:00,78.6776,54.1076,0.0,7.9437127
145,2014-05-26 04:00:00+00:00,84.0776,59.5976,0.0,9.196219
146,2014-05-27 04:00:00+00:00,86.417595,63.467598,0.10236221,9.966581
147,2014-05-28 04:00:00+00:00,73.6376,57.167603,0.31102362,11.193944
148,2014-05-29 04:00:00+00:00,59.6876,53.8376,0.0,10.224339
149,2014-05-30 04:00:00+00:00,72.3776,55.4576,0.027559057,7.2865787
150,2014-05-31 04:00:00+00:00,72.4676,55.4576,0.0,11.805341
151,2014-06-01 04:00:00+00:00,74.8076,52.7576,0.0,7.6058
152,2014-06-02 04:00:00+00:00,78.3176,53.5676,0.0,9.976619
153,2014-06-03 04:00:00+00:00,85.2476,60.4076,0.011811024,8.7357645
154,2014-06-04 04:00:00+00:00,83.7176,65.9876,0.0,7.395645
155,2014-06-05 04:00:00+00:00,75.0776,61.667595,0.507874,10.924716
156,2014-06-06 04:00:00+00:00,73.1876,58.967598,0.0,8.605911
157,2014-06-07 04:00:00+00:00,80.2976,56.5376,0.0,7.9089894
158,2014-06-08 04:00:00+00:00,83.0876,59.6876,0.0,8.795707
159,2014-06-09 04:00:00+00:00,79.0376,66.0776,0.47244093,7.214108
160,2014-06-10 04:00:00+00:00,81.6476,67.1576,0.1023622,5.236683
161,2014-06-11 04:00:00+00:00,73.9076,65.6276,0.09055118,11.666764
162,2014-06-12 04:00:00+00:00,75.707596,62.567596,0.14566928,10.51628
163,2014-06-13 04:00:00+00:00,81.4676,67.7876,0.6299212,9.333948
164,2014-06-14 04:00:00+00:00,74.1776,63.6476,0.0,12.795953
165,2014-06-15 04:00:00+00:00,79.3076,57.167603,0.0,7.75565
166,2014-06-16 04:00:00+00:00,85.51759,58.4276,0.0,7.6090894
167,2014-06-17 04:00:00+00:00,91.00759,68.3276,0.0,11.498267
168,2014-06-18 04:00:00+00:00,91.457596,76.7876,0.0,11.965337
169,2014-06-19 04:00:00+00:00,77.3276,66.7976,0.28346455,9.083983
170,2014-06-20 04:00:00+00:00,79.667595,60.3176,0.0,8.164283
171,2014-06-21 04:00:00+00:00,75.9776,63.107597,0.0,6.847559
172,2014-06-22 04:00:00+00:00,78.4976,65.7176,0.0,7.37871
173,2014-06-23 04:00:00+00:00,81.1076,62.4776,0.0,9.7225895
174,2014-06-24 04:00:00+00:00,83.26759,65.3576,0.0,10.145726
175,2014-06-25 04:00:00+00:00,85.51759,68.957596,0.5157481,9.26939
176,2014-06-26 04:00:00+00:00,85.0676,70.9376,0.03937008,9.517114
177,2014-06-27 04:00:00+00:00,80.6576,69.4076,0.015748031,9.017635
178,2014-06-28 04:00:00+00:00,83.6276,65.4476,0.0,8.57387
179,2014-06-29 04:00:00+00:00,83.7176,64.0076,0.0,9.003752
180,2014-06-30 04:00:00+00:00,85.3376,66.5276,0.0,7.5197816
181,2014-07-01 04:00:00+00:00,90.10759,70.3076,0.0,12.408799
182,2014-07-02 04:00:00+00:00,93.5276,74.3576,0.36220473,9.906147
